name,description,health,armor,money
Snarf Alexandros,A humble man whose quest for sunlight drives him ever onward.,13,1,337
Thanos Smith,A humble man whose quest for sunlight drives him ever onward.,10,2,268
Kira Heartilly,A flufy yellow creature that produces lightning when angry.,13,2,467
Cid Wallace,An omnipotent AI. It will stop at nothing to impose its will.,15,2,347
Terra Laren,A completely normal gambling robot.,10,2,297
Manus of Catarina,An omnipotent AI. It will stop at nothing to impose its will.,14,1,262
Ornstein Crescent,A strange dark creature. it wields powerful magic.,15,1,467
Beatrix Lockhart,A mechanical zealot bent on domination at all costs.,13,1,182
Cid the Abysswalker,A massive wolf-like creature. It will die before it surrenders.,15,3,139
Sonic the Abysswalker,A small furry creaure. It frequently repeats its own name.,15,1,112
Vivi the Echidna,A mechanical zealot bent on domination at all costs.,13,1,272
Gwyn Strife,A young mercenary bearing a large scar across his face.,14,2,439
Mewtwo XIII,A completely normal gambling robot.,15,3,117
Miles Laren,A small furry creaure. It frequently repeats its own name.,15,1,406
Spock the White,The son of noble warrior.,14,3,221
Spock the White,A noble knight who would give his life for his princess.,11,1,110
Gandalf Steiner,A humanoid freedom fighter from an occupied world.,12,2,273
Sif Decepticon,A princess pulled away from her own space and time.,11,2,237
Havel Machine,A completely normal gambling robot.,12,2,246
Dusk McCloud,A princess who fled her kingdom to seek adventure.,15,2,296
Odo Dincht,A large humanoid robot. A steadfast protecter of its kind.,15,2,128
Adelbert Heartilly,A noble knight who would give his life for his princess.,12,2,477
Optimus Smith,A princess who fled her kingdom to seek adventure.,11,1,177
Jenova the Dragon,A humanoid martial artist known for her beauty and strength.,10,1,145
Siegward Thundercat,A princess pulled away from her own space and time.,12,2,379
Celes Valentine,A small fury creature with a bag of mail over its shoulder.,15,2,254
Gandalf Tribal,A princess who fled her kingdom to seek adventure.,15,3,250
Starscream Strife,A humanoid clad in heavy stone plates. His defenses are legendary.,13,1,253
Gwyn Father of Abyss,A completely normal gambling robot.,10,1,146
Odo Heartilly,The humanoid captain of his lords knights. A fierce dragon slayer.,11,2,138
Kira Purple,A young girl and the last of her once powerful race.,10,3,169
Zidane Lionheart,A really cool guy.,14,3,165
Terra Coral,A humanoid terrorist leader who rejects all authority but her own.,13,3,447
Tuvok Greatwolf,A legendary humanoid warrior. Known for facing impossible odds.,14,3,175
Celes Chere,A powerful humanoid ancient whos power knows no bounds.,14,2,147
Jenova Coral,A terrible evil. Ancients called it The Calamity From the Skies.,10,1,291
Pikachu Alexandros,A plump humanoid who values honor (and beer) above all else.,13,3,228
Manus Laren,The Father of Sunlight. he has sacrificed everything for power.,14,3,317
Ornstein Branford,A plump humanoid who values honor (and beer) above all else.,14,3,139
Liono God of Sunlight,A small furry creaure. It frequently repeats its own name.,13,2,227
Gwyn Cosmos,A cat-like humanoid. Proud and strong; They will not falter.,13,2,416
Cid of Oolacile,An impulsive humanoid fighter known for his quick temper.,11,1,370
Gwyn Alexandros,A princess pulled away from her own space and time.,12,3,336
Barret Carol,A leader to his people. His wisdom is known across the galaxy.,15,3,475
Zidane the Dragonslayer,An ancient horror. Revered by many as a God.,13,1,107
Vincent Steiner,A princess who fled her kingdom to seek adventure.,15,3,110
Odo Dincht,A proud father and fierce protector of the planet.,12,2,225
Seven Sith,A powerful humanoid ancient whos power knows no bounds.,15,2,341
Amarant God of Sunlight,A cat-like humanoid. Proud and strong; They will not falter.,14,2,107
Zidane Laren,A powerful warrior bent on achieving Godhood.,10,3,446
Cait the Dragonslayer,A giant black dragon. It has devoured countless souls.,13,1,455
Yuffie Thundercat,A young mercenary bearing a large scar across his face.,14,1,232
Snarf Ornitier,A cat-like humanoid. Proud and strong; They will not falter.,10,1,386
Manus Wallace,The Father of Sunlight. he has sacrificed everything for power.,11,2,357
Leon the Abysswalker,A proud father and fierce protector of the planet.,13,2,137
Adelbert Tribal,A really cool guy.,12,1,373
SHODAN Strife,A giant black dragon. It has devoured countless souls.,12,3,354
Roger Decepticon,A giant black dragon. It has devoured countless souls.,15,2,153
Spock Dincht,A giant black dragon. It has devoured countless souls.,12,1,391
Rinoa Strife,A test subject who can now transform into monstrous beasts.,13,2,332
Terra the Dragon,A pretty young woman accompanied by her dog.,15,2,284
Tifa the Abysswalker,A shape shifter capable of fantastic feats when transformed.,14,3,476
Ornstein Prower,A powerful humanoid ancient whos power knows no bounds.,13,3,246
Kirby XIII,A plump humanoid who values honor (and beer) above all else.,10,2,467
Jenova Sith,A strange dark creature. it wields powerful magic.,12,2,387
Ebrietas Smith,A leader to his people. His wisdom is known across the galaxy.,12,3,277
Squall Machine,The last of her kind. Hunted by many.,14,1,383
Adelbert Purple,An ancient horror. Revered by many as a God.,11,3,140
Kirby the Grey,A princess pulled away from her own space and time.,15,3,136
