name,description,population
Treno-Phi,a cloning facility that raises armies for the highest bidders.,7373223
Bruma-Zeta,a tropical planet where many species seem to vacation.,6720005
Cainhurst-Lambda,"a travelling food ship, it is famous for its Ramen bowls.",8225356
Zanarkand-5,a derelict alien vessel drifting through space.,8011705
Cryon-Chi,a derelict alien vessel drifting through space.,5543112
Oolacile-Epsilon,an aquatic planet. research stations lie below its waves.,8357199
Bruma-7,a world that fell to catastophic climate change.,7022569
Mora-Tau,a massive trading outpost. many species do business here.,4847022
Talaxia-Theta,the lush homeworld to a proud warrior race.,6727400
Mideel-Upsilon,a storm ravaged world where it always rains.,650176
Gallifrey-Sigma,a ruined wartorn planet. civil war has raged for generations.,8609232
Erus-1,a small space station situated near a black hole.,7223291
Cardassia-Chi,"a space ship graveyard, inhabited by outlaws.",3602937
Treno-Lambda,"a travelling food ship, it is famous for its Ramen bowls.",1759595
Alexandria-2,a world that fell to catastophic climate change.,6923096
Oolacile-Tau,the seat of power to a terrible empire.,435485
Lordran-Omicron,"a space ship graveyard, inhabited by outlaws.",6676117
Burmecia-4,a quaint space station known for delicious food.,9970924
Cleyra-Eta,a volcanic planet. much of its surface is covered by magma.,4504878
Treno-Chi,a small brutal planet where only the strong survive.,5423881
Romulus-Alpha,an ancient planet inhabited by a powerful humanoid species.,4684436
Mora-Chi,an abandoned mining colony thats now home to space pirates.,5145756
Cybertron-Alpha,a blue ocean planet. strange vessels glide over its surface.,8201788
Corel-Alpha,a quaint space station known for delicious food.,2270077
Nuna-Kappa,a ruined wartorn planet. civil war has raged for generations.,7536134
Izalith-Iota,a frozen tundra planet. blizzards rage continuously.,8275779
Cainhurst-3,a blue ocean planet. strange vessels glide over its surface.,1014780
Cryon-Nu,a toxic planet whos people have long since fled.,7370029
Bleezor-Eta,a small space station situated near a black hole.,9117384
Eleum-Iota,a beautiful tropical planet brimming with life.,1270424
Cardassia-Chi,a beautiful tropical planet brimming with life.,2472919
Burmecia-Gamma,a technologically advanced world where energy is currency.,4709377
Alexandria-9,a world that fell to catastophic climate change.,5586743
Terra-Tau,a small brutal planet where only the strong survive.,6432661
Terra-Tau,a toxic planet whos people have long since fled.,5249472
Cleyra-3,an aquatic planet. research stations lie below its waves.,9102516
Drangleic-Nu,an aquatic planet. research stations lie below its waves.,6267591
Talara-Omicron,the ruined world of a once mighty civilization.,1323426
Gallifrey-Nu,a cloning facility that raises armies for the highest bidders.,7143852
Burmecia-Gamma,a small brutal planet where only the strong survive.,3826642
Yharnam-Alpha,a weapons research station shielded from prying eyes.,2040045
Cybertron-Psi,"a travelling food ship, it is famous for its Ramen bowls.",5485496
Bevelle-Mu,a quaint space station known for delicious food.,2613192
